id,female,hispanic,white,black,native,asian,prtedu,health,q1,q2,q3,q4,q5,q6,q7,q8
90715988,1,0,1,0,1,0,6,2,0,2,0,0,2,3,1,0
90715993,0,0,0,0,0,1,4,2,1,0,1,0,2,3,1,0
90716050,0,0,1,0,0,0,9,3,0,0,2,0,3,3,0,1
90716064,1,1,1,0,0,0,2,2,3,2,2,3,1,1,3,2
90716352,1,1,,,,,2,4,0,0,1,1,2,2,1,0
90716390,0,0,0,1,0,0,4,4,2,2,3,1,1,3,1,0
90716951,1,0,1,0,0,0,8,1,0,1,1,0,3,3,0,0
90716952,0,0,1,0,0,0,8,3,0,1,0,1,2,2,0,0
90716969,0,0,1,0,0,1,7,3,0,0,0,0,1,1,1,0
90716973,1,0,1,0,0,0,9,3,3,0,3,3,0,3,3,0
90716975,0,0,1,0,0,0,7,2,0,1,1,0,3,3,0,1
90716976,0,0,1,0,0,0,8,3,0,0,0,0,3,3,0,0
90716978,1,0,1,0,0,0,8,3,0,2,1,1,1,2,2,0
90716979,0,0,1,0,0,0,8,3,1,1,1,1,1,1,2,0
90716990,1,0,0,1,0,0,9,2,0,0,0,0,3,3,1,1
90716994,0,0,0,1,1,0,8,1,0,0,1,0,3,3,0,0
90717150,0,0,1,0,0,0,8,3,0,2,2,2,0,0,2,1
90717158,0,0,1,0,0,0,7,3,1,0,0,0,3,2,0,0
90717362,0,0,1,0,0,0,4,3,0,1,0,0,3,3,0,0
90718081,1,0,0,1,0,0,4,4,1,1,1,1,1,2,1,0
90718089,0,0,0,1,0,0,9,2,1,0,0,0,3,3,0,0
90718113,1,0,1,0,0,0,4,2,0,0,0,0,3,3,0,0
90718115,1,0,1,0,0,0,8,4,1,0,0,0,2,3,0,0
90718147,1,0,1,0,0,0,5,3,1,0,1,0,3,3,1,1
90718178,0,0,1,0,0,0,7,3,1,1,1,1,1,1,1,0
90718183,1,0,0,1,0,0,9,4,0,0,0,0,3,3,0,0
90718207,1,0,0,1,0,0,7,4,0,2,0,0,2,2,0,0
90718273,1,0,1,0,0,0,9,4,1,1,1,0,3,3,1,0
90718280,0,0,0,1,0,0,9,3,1,1,0,1,2,3,1,0
90718303,0,0,0,1,0,0,8,4,0,0,1,0,3,3,1,0
