id,school,classroom,fsi_b01,fsi_b02,fsi_b03,fsi_b04,fsi_b05,fsi_b06,fsi_b07,fsi_b08,fsi_b09,fsi_b10,fsi_b11,fsi_b12,fsi_b13,fsi_b14,fsi_b15,fsi_b16,fsi_b17,fsi_b18,fsi_b19,fsi_b20,total,locale,class_size,avg_age,pct_female,pct_sped,pct_white,pct_black,pct_hispanic
102,4,6,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
103,4,6,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,38,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
104,4,6,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,37,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
105,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
106,4,6,0,2,2,2,2,2,2,2,2,2,1,1,2,0,1,1,1,1,1,1,28,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
107,4,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
108,4,6,0,0,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,31,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
109,3,7,2,2,2,2,0,2,2,2,2,2,2,1,1,2,1,1,1,0,2,1,30,Rural,10,67.87,0.4,0,0.7,0,0.2
110,3,8,0,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,29,Rural,10,69.17,0.4,0.1,0.6,0,0.4
111,3,8,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,31,Rural,10,69.17,0.4,0.1,0.6,0,0.4
112,3,7,0,0,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,1,2,0,27,Rural,10,67.87,0.4,0,0.7,0,0.2
113,3,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Rural,10,67.87,0.4,0,0.7,0,0.2
114,3,7,0,2,2,2,0,2,2,0,2,2,2,0,0,0,1,1,0,1,2,1,22,Rural,10,67.87,0.4,0,0.7,0,0.2
115,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural,10,69.17,0.4,0.1,0.6,0,0.4
116,3,8,2,0,2,0,2,2,0,0,2,2,2,0,0,1,2,0,0,2,1,1,21,Rural,10,69.17,0.4,0.1,0.6,0,0.4
117,3,7,0,2,2,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,30,Rural,10,67.87,0.4,0,0.7,0,0.2
118,3,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Rural,10,67.87,0.4,0,0.7,0,0.2
119,3,8,2,2,2,2,2,2,2,2,0,2,1,1,1,2,2,2,1,2,1,2,33,Rural,10,69.17,0.4,0.1,0.6,0,0.4
120,3,8,0,2,0,2,0,0,0,0,0,0,1,2,2,1,2,2,0,2,2,1,19,Rural,10,69.17,0.4,0.1,0.6,0,0.4
121,3,7,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,35,Rural,10,67.87,0.4,0,0.7,0,0.2
122,3,7,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,39,Rural,10,67.87,0.4,0,0.7,0,0.2
123,3,7,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,34,Rural,10,67.87,0.4,0,0.7,0,0.2
124,3,8,2,0,2,2,2,2,0,2,2,2,2,2,0,2,1,2,1,1,1,1,29,Rural,10,69.17,0.4,0.1,0.6,0,0.4
125,3,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Rural,10,69.17,0.4,0.1,0.6,0,0.4
126,3,8,2,0,2,0,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,32,Rural,10,69.17,0.4,0.1,0.6,0,0.4
127,3,8,0,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,1,30,Rural,10,69.17,0.4,0.1,0.6,0,0.4
128,3,7,2,0,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,32,Rural,10,67.87,0.4,0,0.7,0,0.2
