schid,stuid,pfemale,page,sfemale,match,attention,affective
2532,8,1,,0,0,0.723101526062187,
2532,9,1,40,1,1,-0.57848122084975,0
2539,0,1,,1,1,0.679529588583501,
2539,1,1,,0,0,0.679529588583501,
2539,2,1,,1,1,-2.07256524517968,
2539,3,1,44,0,0,-1.15520030059195,0
2539,4,1,,1,1,-0.237835356004225,
2539,5,1,40,0,0,0.0679529588583504,0
2539,6,1,37,1,1,0.679529588583501,0
2539,7,1,,0,0,0.679529588583501,
2539,9,1,,0,0,0.679529588583501,
2545,0,1,38,0,0,0.127152131994154,0
2545,1,1,40,1,1,-1.14436918794738,0
2545,2,1,38,0,0,0.550992571974666,0
2545,3,1,37,1,1,0.550992571974666,0
2545,4,1,38,0,0,0.127152131994154,0
2545,5,1,36,1,1,0.550992571974666,1
2545,6,1,38,0,0,0.550992571974666,0
2545,7,1,44,1,1,-2.41589050788892,0
2545,8,1,37,0,0,0.550992571974666,0
2545,9,1,,1,1,0.550992571974666,
2546,0,1,40,1,1,-0.109599324870238,0
2546,1,1,44,0,0,-1.75358919792381,0
2546,2,1,36,1,1,0.876794598961905,0
2546,3,1,,0,0,0.876794598961905,
2546,4,1,39,1,1,0.876794598961905,0
2546,5,1,,0,0,0.876794598961905,
2546,6,1,37,1,1,0.219198649740476,1
2546,7,1,43,0,0,-1.09599324870238,0
2546,8,1,42,1,1,-0.767195274091667,0
2608,0,1,37,1,1,0.118074045439887,1
2608,1,1,36,1,1,0.905234348372465,1
2608,2,1,36,1,1,0.511654196906176,1
2608,3,1,37,1,1,0.905234348372465,0
2608,4,1,39,1,1,-1.45624656042527,1
2608,5,1,41,1,1,-1.84982671189156,0
2608,6,1,37,1,1,0.511654196906176,0
2608,7,1,40,1,1,-0.669086257492692,0
2608,8,1,36,1,1,0.905234348372465,1
2608,9,1,39,1,1,0.118074045439887,0
2613,0,1,44,0,0,-2.46657657493134,0
2613,1,1,39,1,1,-0.948683298050514,1
2613,2,1,37,0,0,0.569209978830308,0
2613,3,1,34,1,1,0.569209978830308,1
2613,4,1,,1,1,0.569209978830308,
2613,5,1,36,0,0,0.569209978830308,0
2613,6,1,36,1,1,0.569209978830308,1
2613,7,1,37,1,1,0.569209978830308,0
2613,8,1,37,0,0,-0.189736659610103,1
2613,9,1,38,1,1,0.189736659610103,0
3001,0,0,36,0,1,0.866578244826242,1
3001,1,0,43,1,0,-1.73315648965248,0
3001,2,0,40,0,1,0.123796892118035,0
3001,3,0,40,1,0,-0.247593784236069,0
3001,4,0,42,0,1,-1.36176581329838,0
3001,5,0,36,1,0,0.866578244826242,0
3001,7,0,41,1,0,-0.247593784236069,0
3001,8,0,34,0,1,0.866578244826242,1
3001,9,0,37,1,0,0.866578244826242,1
3002,0,0,38,0,1,0.726752374667264,0
3002,1,0,39,1,0,0.726752374667264,0
3002,2,0,39,0,1,0.726752374667264,0
3002,3,0,37,1,0,0.726752374667264,0
3002,4,0,40,0,1,0.436051424800358,0
3002,5,0,38,1,0,0.436051424800358,0
3002,6,0,38,0,1,0.436051424800358,0
3002,7,0,42,1,0,-1.01745332453417,0
3002,8,0,44,0,1,-1.30815427440107,0
3002,9,0,44,1,0,-1.88955617413489,0
3003,0,0,38,1,0,0.177384028063397,0
3003,1,0,39,0,1,0.177384028063397,1
3003,2,0,40,1,0,0.576498091206041,0
3003,3,0,42,0,1,-1.01995816136453,0
3003,4,0,40,1,0,0.177384028063397,0
3003,5,0,37,0,1,0.975612154348684,0
3003,6,0,44,1,0,-1.81818628764982,0
3003,8,0,40,1,0,-0.62084409822189,0
3003,9,0,38,0,1,1.37472621749133,0
3004,0,0,40,1,0,0.540313408730999,0
3004,1,0,42,0,1,-0.706563688340536,0
3004,2,0,41,1,0,0.124687709707154,0
3004,3,0,44,0,1,-1.12218938736438,0
3004,4,0,34,1,0,1.78719050580253,1
3004,5,0,45,0,1,-1.53781508638823,0
3004,6,0,40,1,0,0.540313408730999,0
3004,7,0,,0,1,-0.706563688340536,
3004,8,0,39,1,0,0.540313408730999,0
3004,9,0,36,0,1,0.540313408730999,1
3005,0,0,43,0,1,-0.335151691618069,0
3005,1,0,44,1,0,-1.45232399701163,0
3005,2,0,37,0,1,1.52680215070454,0
3005,3,0,39,1,0,-0.335151691618069,1
3005,4,0,42,0,1,-1.07993322854711,0
3005,5,0,40,1,0,0.0372390768464519,1
3005,6,0,38,0,1,1.52680215070454,0
3005,7,0,40,1,0,0.782020613775494,0
3005,8,0,42,0,1,-0.335151691618069,0
3005,9,0,42,1,0,-0.335151691618069,0
3006,0,0,44,1,0,-0.841454040205026,0
3006,1,0,45,0,1,-1.13161060579297,0
3006,2,0,41,1,0,0.319172222146734,0
3006,3,0,44,0,1,-0.841454040205026,0
3006,4,0,39,1,0,1.18964191891055,0
3006,5,0,40,0,1,0.609328787734674,0
3006,6,0,44,1,0,-0.551297474617086,0
3006,7,0,,0,1,1.18964191891055,
3006,8,0,37,1,0,1.18964191891055,0
3006,9,0,45,0,1,-1.13161060579297,0
3007,0,0,44,1,0,-2.30741529461265,0
3007,1,0,36,0,1,0.340438322155965,1
3007,2,0,37,1,0,0.718703124551483,0
3007,3,0,36,0,1,0.718703124551483,1
3007,4,0,40,1,0,-0.794356085030586,0
3007,5,0,37,0,1,0.718703124551483,0
3007,6,0,35,1,0,0.718703124551483,1
3007,7,0,37,0,1,-0.416091282635069,1
3007,8,0,,1,0,0.718703124551483,
3007,9,0,40,0,1,-0.416091282635069,0
3009,0,0,44,0,1,-1.02165893636209,0
3009,1,0,40,1,0,0.802732021427358,0
3009,2,0,44,0,1,-0.291902553246312,0
3009,3,0,40,1,0,-0.291902553246312,1
3009,4,0,40,0,1,0.802732021427358,0
3009,5,0,39,1,0,1.53248840454314,0
3009,6,0,40,0,1,1.16761021298525,0
3009,7,0,44,1,0,-0.656780744804202,0
3009,8,0,45,0,1,-1.38653712791998,0
3009,9,0,43,1,0,-0.656780744804202,0
3011,0,0,36,0,1,1.38744369255116,1
3011,1,0,41,1,0,-1.63970618210592,1
3011,2,0,40,0,1,-0.126131244777378,0
3011,4,0,39,0,1,-0.126131244777378,1
3011,6,0,39,0,1,1.38744369255116,0
3011,7,0,40,1,0,-0.630656223886892,1
3011,8,0,39,0,1,-0.126131244777378,1
3011,9,0,39,1,0,-0.126131244777378,1
3012,0,0,40,0,1,-1.63993626786894,1
3012,1,0,37,1,0,0.883042605775583,0
3012,2,0,37,0,1,0.883042605775583,0
3012,3,0,40,1,0,-0.378446831046678,0
3012,4,0,36,0,1,0.883042605775583,1
3012,5,0,34,1,0,0.883042605775583,1
3012,6,0,40,0,1,-0.798943309987432,0
3012,7,0,40,1,0,-0.378446831046678,0
3012,8,0,34,0,1,0.883042605775583,1
3012,9,0,40,1,0,-1.21943978892819,0
3013,0,0,36,0,1,1.01807870296921,1
3013,1,0,39,1,0,0.285062036831379,0
3013,2,0,45,0,1,-1.91398796158212,0
3013,3,0,43,1,0,-1.18097129544428,0
3013,4,0,37,0,1,0.285062036831379,1
3013,6,0,39,0,1,0.651570369900295,0
3013,7,0,36,1,0,1.01807870296921,1
3013,8,0,40,0,1,-0.447954629306453,0
3013,9,0,37,1,0,0.285062036831379,1
3014,0,0,37,0,1,2.14702009558801,1
3014,1,0,40,1,0,0.149792099692187,0
3014,2,0,44,0,1,-1.34812889722968,0
3014,3,0,44,1,0,-0.848821898255723,0
3014,4,0,44,0,1,-0.848821898255723,0
3014,5,0,40,1,0,-0.349514899281768,1
3014,6,0,39,0,1,0.649099098666141,1
3014,7,0,42,1,0,-0.349514899281768,0
3014,8,0,39,0,1,0.649099098666141,1
3014,9,0,38,1,0,0.149792099692187,1
3015,0,0,44,1,0,-1.88722540209426,0
3015,1,0,40,0,1,0.333039776840164,0
3015,2,0,39,1,0,0.77709281262705,0
3015,3,0,43,0,1,-0.555066294733607,0
3015,5,0,39,0,1,-0.111013258946722,1
3015,6,0,40,1,0,-0.555066294733607,0
3015,7,0,38,0,1,0.77709281262705,0
3015,9,0,38,0,1,1.22114584841394,0
3016,0,0,40,1,0,1.03492723423692,0
3016,1,0,42,0,1,-0.258731808559231,0
3016,2,0,46,1,0,-1.55239085135539,0
3016,3,0,40,0,1,1.46614691516898,0
3016,4,0,46,1,0,-1.55239085135539,0
3016,5,0,42,0,1,0.172487872372821,0
3016,6,0,41,1,0,-0.258731808559231,1
3016,7,0,37,0,1,0.603707553304872,1
3016,8,0,42,1,0,0.603707553304872,0
3016,9,0,41,0,1,-0.258731808559231,0
3017,1,0,40,0,1,0.826033187630902,0
3017,2,0,40,1,0,-0.750939261482638,1
3017,3,0,39,0,1,0.826033187630902,0
3017,4,0,44,1,0,-0.750939261482638,0
3017,5,0,45,0,1,-1.27659674452049,0
3017,7,0,41,0,1,-0.225281778444791,0
3017,9,0,40,0,1,1.35169067066875,0
3018,0,0,44,1,0,-2.29132026226501,0
3018,1,0,40,0,1,0.341260464592661,0
3018,2,0,42,1,0,-0.0975029898836179,0
3018,3,0,39,0,1,1.21878737354522,0
3018,4,0,40,1,0,-0.0975029898836179,0
3018,5,0,41,0,1,-0.536266444359896,0
3018,7,0,38,0,1,0.780023919068939,0
3018,8,0,40,1,0,0.341260464592661,0
3018,9,0,40,0,1,0.341260464592661,0
3019,0,0,44,1,0,-0.552286991067228,0
3019,1,0,41,0,1,0.675017433526612,0
3019,2,0,40,1,0,1.28866964582353,0
3019,3,0,45,0,1,-0.859113097215687,0
3019,4,0,40,1,0,0.981843539675071,0
3019,5,0,41,0,1,0.675017433526612,0
3019,6,0,39,1,0,0.981843539675071,0
3019,7,0,46,0,1,-1.16593920336415,0
3019,8,0,45,1,0,-0.859113097215687,0
3019,9,0,46,0,1,-1.16593920336415,0
3020,1,0,41,0,1,0.674619234169254,0
3020,2,0,39,0,1,1.43356587260967,0
3020,3,0,38,0,1,1.05409255338946,1
3020,4,0,43,1,0,-1.22274736193177,0
3020,5,0,39,0,1,0.674619234169254,0
3020,6,0,42,0,1,-0.0843274042711567,0
3020,7,0,43,0,1,-0.843274042711568,0
3020,8,0,44,0,1,-1.22274736193177,0
3020,9,0,43,0,1,-0.463800723491362,0
3021,1,0,44,0,1,-0.323380833381777,0
3021,2,0,45,1,0,-1.29352333352711,0
3021,3,0,42,0,1,0.161690416690889,0
3021,4,0,39,1,0,2.10197541698155,0
3021,5,0,44,0,1,-0.808452083454443,0
3021,6,0,45,1,0,-0.808452083454443,0
3021,7,0,40,0,1,0.646761666763555,1
3021,8,0,43,1,0,0.161690416690889,0
