district,subject,grade,achievement,gap_gender,percent_ell,percent_sped,percent_frl
KLAMATH COUNTY SD,mth,6,5.89879625272802,0.432158837606922,0.042325653,0.13526134,0.69602174
KLAMATH COUNTY SD,rla,6,5.91084597551823,-0.230646899223842,0.042325653,0.13526134,0.69602174
KLAMATH FALLS CITY SCHOOLS,mth,3,1.64519069931127,-0.161854109678127,0.037504148,0.16561566,0.70990908
KLAMATH FALLS CITY SCHOOLS,rla,3,1.56607597608645,-0.836324412340515,0.037504148,0.16561566,0.70990908
KLAMATH FALLS CITY SCHOOLS,mth,4,3.35280810585883,0.176494230075816,0.037504148,0.16561566,0.70990908
KLAMATH FALLS CITY SCHOOLS,rla,4,2.68155482433502,-0.239183690811371,0.037504148,0.16561566,0.70990908
KLAMATH FALLS CITY SCHOOLS,mth,5,4.04626705422006,0.428644350831394,0.037504148,0.16561566,0.70990908
KLAMATH FALLS CITY SCHOOLS,rla,5,3.45689247215621,-0.860247345988197,0.037504148,0.16561566,0.70990908
KLAMATH FALLS CITY SCHOOLS,mth,6,5.33800628799363,-0.681376760033694,0.037504148,0.16561566,0.70990908
KLAMATH FALLS CITY SCHOOLS,rla,6,5.16876731964042,-1.38925818379727,0.037504148,0.16561566,0.70990908
LAKE OSWEGO SD 7J,mth,3,5.33733105222922,0.579051427910645,0.019073185,0.10087595,0.081566475
LAKE OSWEGO SD 7J,rla,3,6.46461834513732,-0.376252825842727,0.019073185,0.10087595,0.081566475
LAKE OSWEGO SD 7J,mth,4,6.92487034579449,0.701748168886417,0.019073185,0.10087595,0.081566475
LAKE OSWEGO SD 7J,rla,4,7.337136616546,-0.682409154038466,0.019073185,0.10087595,0.081566475
LAKE OSWEGO SD 7J,mth,5,7.60803390699177,0.312846261599935,0.019073185,0.10087595,0.081566475
LAKE OSWEGO SD 7J,rla,5,7.67361700040545,-0.967451995697784,0.019073185,0.10087595,0.081566475
LAKE OSWEGO SD 7J,mth,6,8.23534678549561,-0.607549067705828,0.019073185,0.10087595,0.081566475
LAKE OSWEGO SD 7J,rla,6,8.65991745443314,-1.55569953045177,0.019073185,0.10087595,0.081566475
LAKE COUNTY SD 7,mth,3,3.0285339729975,0.548952090800013,0.038666666,0.15466666,0.51703113
LAKE COUNTY SD 7,rla,3,3.36166716473504,0.729624489198375,0.038666666,0.15466666,0.51703113
LAKE COUNTY SD 7,mth,4,3.96171357226349,0.809368194948934,0.038666666,0.15466666,0.51703113
LAKE COUNTY SD 7,rla,4,4.42477643784582,-0.158700678148745,0.038666666,0.15466666,0.51703113
LAKE COUNTY SD 7,mth,5,5.08570985696358,-0.0942082513494847,0.038666666,0.15466666,0.51703113
LAKE COUNTY SD 7,rla,5,4.88170479850854,-1.93394768449602,0.038666666,0.15466666,0.51703113
LAKE COUNTY SD 7,mth,6,6.77849152014584,0.645394412506478,0.038666666,0.15466666,0.51703113
LAKE COUNTY SD 7,rla,6,5.86147461237001,0.597554780100913,0.038666666,0.15466666,0.51703113
MCMINNVILLE SD 40,mth,3,3.73474462001059,0.288921262957089,0.12856509,0.14216049,0.60890543
MCMINNVILLE SD 40,rla,3,3.52380300283939,-0.461692389287861,0.12856509,0.14216049,0.60890543
MCMINNVILLE SD 40,mth,4,4.58081438370158,0.557863043483599,0.12856509,0.14216049,0.60890543
MCMINNVILLE SD 40,rla,4,4.23503088469422,-0.145530851019907,0.12856509,0.14216049,0.60890543
MCMINNVILLE SD 40,mth,5,5.57927009760351,0.0035348470384797,0.12856509,0.14216049,0.60890543
MCMINNVILLE SD 40,rla,5,5.40636873271701,-0.586381764945607,0.12856509,0.14216049,0.60890543
MCMINNVILLE SD 40,mth,6,6.1792693158963,-0.278283596692038,0.12856509,0.14216049,0.60890543
MCMINNVILLE SD 40,rla,6,5.84542489133664,-1.035468203835,0.12856509,0.14216049,0.60890543
MEDFORD SD 549C,mth,3,2.58514481407343,-0.0484398188108528,0.068536259,0.15036017,0.53313297
MEDFORD SD 549C,rla,3,2.96348779748043,-1.02460696589965,0.068536259,0.15036017,0.53313297
MEDFORD SD 549C,mth,4,3.70431683814483,0.216515905725379,0.068536259,0.15036017,0.53313297
MEDFORD SD 549C,rla,4,4.03822569637661,-0.534974389127962,0.068536259,0.15036017,0.53313297
MEDFORD SD 549C,mth,5,4.64219776319965,0.409137836519899,0.068536259,0.15036017,0.53313297
MEDFORD SD 549C,rla,5,4.95371622841435,-0.723735121914063,0.068536259,0.15036017,0.53313297
MEDFORD SD 549C,mth,6,5.82087843218523,0.337780569559641,0.068536259,0.15036017,0.53313297
MEDFORD SD 549C,rla,6,6.23284167537873,-0.518622795230283,0.068536259,0.15036017,0.53313297
MILTON-FREEWATER UNIFIED SD 7,mth,3,1.88293968300965,-0.0702131721145883,0.22087659,0.14129181,0.80212283
MILTON-FREEWATER UNIFIED SD 7,rla,3,2.21865303773677,-1.28294415979687,0.22087659,0.14129181,0.80212283
MILTON-FREEWATER UNIFIED SD 7,mth,4,2.27196917902578,0.295224287365822,0.22087659,0.14129181,0.80212283
MILTON-FREEWATER UNIFIED SD 7,rla,4,1.6890224396037,-1.34390597149832,0.22087659,0.14129181,0.80212283
MILTON-FREEWATER UNIFIED SD 7,mth,5,3.60742204070478,0.119392593568007,0.22087659,0.14129181,0.80212283
MILTON-FREEWATER UNIFIED SD 7,rla,5,3.52253474877789,-0.13401039266624,0.22087659,0.14129181,0.80212283
MILTON-FREEWATER UNIFIED SD 7,mth,6,5.50660529623869,-0.426972135022906,0.22087659,0.14129181,0.80212283
MILTON-FREEWATER UNIFIED SD 7,rla,6,5.13342379629157,-0.773375212485107,0.22087659,0.14129181,0.80212283
MT ANGEL SD 91,mth,3,2.30892334044822,1.7255023453322,0.14285715,0.12433863,0.56872028
MT ANGEL SD 91,rla,3,2.63743894051918,1.14591489072078,0.14285715,0.12433863,0.56872028
MT ANGEL SD 91,mth,4,3.85712144729362,-1.03599069786346,0.14285715,0.12433863,0.56872028
MT ANGEL SD 91,rla,4,3.62342601879636,-2.55550628548188,0.14285715,0.12433863,0.56872028
MT ANGEL SD 91,mth,5,4.59780215200172,1.46143653069094,0.14285715,0.12433863,0.56872028
MT ANGEL SD 91,rla,5,3.9258392209261,0.16441992092042,0.14285715,0.12433863,0.56872028
MT ANGEL SD 91,mth,6,6.11013796035108,0.912040419374084,0.14285715,0.12433863,0.56872028
MT ANGEL SD 91,rla,6,5.89035871642656,-0.0602398668286884,0.14285715,0.12433863,0.56872028
NEAH-KAH-NIE SD 56,mth,3,2.86021179740072,0.173251363632072,0.038560413,0.16452442,0.51424521
NEAH-KAH-NIE SD 56,rla,3,3.40009569803984,-0.911096293595871,0.038560413,0.16452442,0.51424521
NEAH-KAH-NIE SD 56,mth,4,3.14088798945828,-0.939143181020392,0.038560413,0.16452442,0.51424521
NEAH-KAH-NIE SD 56,rla,4,3.70199224151366,-1.05835568851946,0.038560413,0.16452442,0.51424521
NEAH-KAH-NIE SD 56,mth,5,3.4855914796147,-1.2871091329071,0.038560413,0.16452442,0.51424521
NEAH-KAH-NIE SD 56,rla,5,3.88419662371512,-1.75615761501372,0.038560413,0.16452442,0.51424521
NEAH-KAH-NIE SD 56,mth,6,5.83262089731834,-0.501159581130113,0.038560413,0.16452442,0.51424521
NEAH-KAH-NIE SD 56,rla,6,6.56771620691982,-0.684457745716616,0.038560413,0.16452442,0.51424521
NORTH CLACKAMAS SD 12,mth,3,2.48719457073868,0.227933144117345,0.089160532,0.17756793,0.36624631
NORTH CLACKAMAS SD 12,rla,3,3.03679906384953,-0.695952882488215,0.089160532,0.17756793,0.36624631
NORTH CLACKAMAS SD 12,mth,4,3.47515898526477,0.260436995754032,0.089160532,0.17756793,0.36624631
NORTH CLACKAMAS SD 12,rla,4,3.91597962357247,-0.473924021477689,0.089160532,0.17756793,0.36624631
NORTH CLACKAMAS SD 12,mth,5,4.74157603683909,-0.359800321307153,0.089160532,0.17756793,0.36624631
NORTH CLACKAMAS SD 12,rla,5,5.21150410012201,-1.46323355128679,0.089160532,0.17756793,0.36624631
NORTH CLACKAMAS SD 12,mth,6,6.25620235976021,-0.240334717386205,0.089160532,0.17756793,0.36624631
NORTH CLACKAMAS SD 12,rla,6,6.47815875715943,-1.01225671562363,0.089160532,0.17756793,0.36624631
ONTARIO SD 8C,mth,3,1.17287413248636,-0.432944533168374,0.10357506,0.15450208,0.8236506
ONTARIO SD 8C,rla,3,0.905681741597604,-1.01328872389361,0.10357506,0.15450208,0.8236506
ONTARIO SD 8C,mth,4,2.54981496222268,0.0905568681671839,0.10357506,0.15450208,0.8236506
ONTARIO SD 8C,rla,4,2.647075165624,-0.42319371465261,0.10357506,0.15450208,0.8236506
ONTARIO SD 8C,mth,5,4.04626837793052,0.314337335042936,0.10357506,0.15450208,0.8236506
ONTARIO SD 8C,rla,5,4.22310887151741,-0.291837811286403,0.10357506,0.15450208,0.8236506
ONTARIO SD 8C,mth,6,5.36292486363883,-0.300811966236355,0.10357506,0.15450208,0.8236506
ONTARIO SD 8C,rla,6,5.6389720420531,-0.998923793496816,0.10357506,0.15450208,0.8236506
PENDLETON SD 16,mth,3,2.44781570837671,0.170355911578887,0.016481776,0.16164818,0.50310898
PENDLETON SD 16,rla,3,2.1232958075355,-0.308017644975487,0.016481776,0.16164818,0.50310898
PENDLETON SD 16,mth,4,3.33216576812185,0.755793577022696,0.016481776,0.16164818,0.50310898
PENDLETON SD 16,rla,4,2.93575775675688,0.0995194904262966,0.016481776,0.16164818,0.50310898
PENDLETON SD 16,mth,5,4.66819580045784,0.309956317256128,0.016481776,0.16164818,0.50310898
PENDLETON SD 16,rla,5,4.66071624781366,-0.770323779335409,0.016481776,0.16164818,0.50310898
PENDLETON SD 16,mth,6,5.49297630693258,-0.462208235309002,0.016481776,0.16164818,0.50310898
PENDLETON SD 16,rla,6,5.00523080376602,-0.779772360628321,0.016481776,0.16164818,0.50310898
DOUGLAS COUNTY SD 4,mth,3,2.2844114118034,0.350067000936359,0.0070945388,0.12968157,0.60475945
DOUGLAS COUNTY SD 4,rla,3,3.10096131723285,-0.421241112065091,0.0070945388,0.12968157,0.60475945
DOUGLAS COUNTY SD 4,mth,4,3.10044511748223,0.559056186729839,0.0070945388,0.12968157,0.60475945
DOUGLAS COUNTY SD 4,rla,4,3.39787391633031,-0.292612077806884,0.0070945388,0.12968157,0.60475945
DOUGLAS COUNTY SD 4,mth,5,3.90934327476344,-0.0361355906068799,0.0070945388,0.12968157,0.60475945
DOUGLAS COUNTY SD 4,rla,5,4.33699676957536,-1.26324382279833,0.0070945388,0.12968157,0.60475945
DOUGLAS COUNTY SD 4,mth,6,5.26477165032453,0.0858115660422582,0.0070945388,0.12968157,0.60475945
DOUGLAS COUNTY SD 4,rla,6,5.28315980305332,-0.334810899317985,0.0070945388,0.12968157,0.60475945
SALEM-KEIZER SD 24J,mth,3,1.50293398106355,0.252926401593152,0.17269279,0.17481302,0.63072979
SALEM-KEIZER SD 24J,rla,3,1.50373957677495,-0.87185583374038,0.17269279,0.17481302,0.63072979
SALEM-KEIZER SD 24J,mth,4,2.53492249856855,0.253774749622974,0.17269279,0.17481302,0.63072979
SALEM-KEIZER SD 24J,rla,4,2.866966890802,-0.669699866925405,0.17269279,0.17481302,0.63072979
SALEM-KEIZER SD 24J,mth,5,3.78010320804638,0.333528194395658,0.17269279,0.17481302,0.63072979
SALEM-KEIZER SD 24J,rla,5,4.04985751001834,-0.530134778353463,0.17269279,0.17481302,0.63072979
SALEM-KEIZER SD 24J,mth,6,5.02431503631119,-0.0950507501935815,0.17269279,0.17481302,0.63072979
